coverage,risk
2.000000000000000164e-05,1.000000000000000000e+00
4.000000000000000327e-05,1.000000000000000000e+00
6.000000000000000152e-05,6.666666666666666297e-01
8.000000000000000654e-05,5.000000000000000000e-01
1.000000000000000048e-04,4.000000000000000222e-01
1.200000000000000030e-04,3.333333333333333148e-01
1.399999999999999877e-04,4.285714285714285476e-01
1.600000000000000131e-04,3.750000000000000000e-01
1.800000000000000113e-04,3.333333333333333148e-01
2.000000000000000096e-04,2.999999999999999889e-01
2.200000000000000078e-04,2.727272727272727071e-01
2.400000000000000061e-04,2.500000000000000000e-01
2.599999999999999772e-04,2.307692307692307820e-01
2.799999999999999755e-04,2.142857142857142738e-01
2.999999999999999737e-04,2.000000000000000111e-01
3.200000000000000262e-04,2.500000000000000000e-01
3.400000000000000244e-04,2.352941176470588203e-01
3.600000000000000227e-04,2.222222222222222099e-01
3.800000000000000209e-04,2.105263157894736725e-01
4.000000000000000192e-04,2.000000000000000111e-01
4.200000000000000174e-04,2.380952380952380820e-01
4.400000000000000157e-04,2.727272727272727071e-01
4.600000000000000139e-04,2.608695652173912971e-01
4.800000000000000122e-04,2.500000000000000000e-01
5.000000000000000104e-04,2.399999999999999911e-01
5.199999999999999544e-04,2.307692307692307820e-01
5.400000000000000069e-04,2.222222222222222099e-01
5.599999999999999509e-04,2.500000000000000000e-01
5.800000000000000034e-04,2.413793103448275967e-01
5.999999999999999474e-04,2.666666666666666630e-01
6.199999999999999999e-04,2.580645161290322509e-01
6.400000000000000524e-04,2.812500000000000000e-01
6.599999999999999964e-04,2.727272727272727071e-01
6.800000000000000488e-04,2.647058823529411797e-01
6.999999999999999929e-04,2.857142857142856984e-01
7.200000000000000453e-04,3.055555555555555802e-01
7.399999999999999894e-04,3.243243243243243423e-01
7.600000000000000418e-04,3.157894736842105088e-01
7.799999999999999859e-04,3.333333333333333148e-01
8.000000000000000383e-04,3.499999999999999778e-01
8.199999999999999824e-04,3.414634146341463672e-01
8.400000000000000348e-04,3.333333333333333148e-01
8.599999999999999789e-04,3.488372093023255904e-01
8.800000000000000313e-04,3.409090909090908839e-01
8.999999999999999754e-04,3.333333333333333148e-01
9.200000000000000278e-04,3.260869565217391353e-01
9.399999999999999719e-04,3.191489361702127825e-01
9.600000000000000243e-04,3.125000000000000000e-01
9.799999999999999684e-04,3.061224489795918435e-01
1.000000000000000021e-03,2.999999999999999889e-01
1.020000000000000073e-03,2.941176470588235392e-01
1.039999999999999909e-03,2.884615384615384359e-01
1.059999999999999961e-03,2.830188679245282946e-01
1.080000000000000014e-03,2.777777777777777901e-01
1.100000000000000066e-03,2.727272727272727071e-01
1.119999999999999902e-03,2.857142857142856984e-01
1.139999999999999954e-03,2.982456140350877027e-01
1.160000000000000007e-03,2.931034482758620441e-01
1.180000000000000059e-03,2.881355932203389925e-01
1.199999999999999895e-03,2.833333333333333259e-01
1.219999999999999947e-03,2.786885245901639108e-01
1.240000000000000000e-03,2.741935483870967527e-01
1.260000000000000052e-03,2.857142857142856984e-01
1.280000000000000105e-03,2.812500000000000000e-01
1.299999999999999940e-03,2.923076923076923239e-01
1.319999999999999993e-03,2.878787878787879007e-01
1.340000000000000045e-03,2.835820895522387919e-01
1.360000000000000098e-03,2.794117647058823595e-01
1.379999999999999933e-03,2.753623188405797118e-01
1.399999999999999986e-03,2.714285714285714080e-01
1.420000000000000038e-03,2.816901408450704358e-01
1.440000000000000091e-03,2.777777777777777901e-01
1.459999999999999926e-03,2.739726027397260122e-01
1.479999999999999979e-03,2.702702702702702853e-01
1.500000000000000031e-03,2.666666666666666630e-01
1.520000000000000084e-03,2.631578947368420907e-01
1.539999999999999919e-03,2.597402597402597157e-01
1.559999999999999972e-03,2.564102564102563875e-01
1.580000000000000024e-03,2.531645569620253333e-01
1.600000000000000077e-03,2.500000000000000000e-01
1.619999999999999912e-03,2.469135802469135665e-01
1.639999999999999965e-03,2.560975609756097615e-01
1.660000000000000017e-03,2.530120481927710663e-01
1.680000000000000070e-03,2.500000000000000000e-01
1.699999999999999905e-03,2.470588235294117752e-01
1.719999999999999958e-03,2.441860465116278966e-01
1.740000000000000010e-03,2.413793103448275967e-01
1.760000000000000063e-03,2.386363636363636465e-01
1.779999999999999898e-03,2.359550561797752743e-01
1.799999999999999951e-03,2.444444444444444364e-01
1.820000000000000003e-03,2.417582417582417598e-01
1.840000000000000056e-03,2.391304347826087029e-01
1.860000000000000108e-03,2.473118279569892497e-01
1.879999999999999944e-03,2.446808510638297796e-01
1.899999999999999996e-03,2.421052631578947401e-01
1.920000000000000049e-03,2.395833333333333426e-01
1.940000000000000101e-03,2.371134020618556604e-01
1.959999999999999937e-03,2.346938775510204189e-01
1.979999999999999989e-03,2.323232323232323204e-01
2.000000000000000042e-03,2.300000000000000100e-01
2.020000000000000094e-03,2.277227722772277307e-01
2.040000000000000147e-03,2.254901960784313764e-01
2.060000000000000199e-03,2.330097087378640852e-01
2.079999999999999818e-03,2.307692307692307820e-01
2.099999999999999870e-03,2.285714285714285643e-01
2.119999999999999923e-03,2.358490566037735880e-01
2.139999999999999975e-03,2.336448598130841103e-01
2.160000000000000028e-03,2.314814814814814825e-01
2.180000000000000080e-03,2.293577981651376274e-01
2.200000000000000133e-03,2.363636363636363591e-01
2.220000000000000185e-03,2.342342342342342287e-01
2.239999999999999804e-03,2.321428571428571508e-01
2.259999999999999856e-03,2.300884955752212357e-01
2.279999999999999909e-03,2.280701754385964786e-01
2.299999999999999961e-03,2.260869565217391297e-01
2.320000000000000014e-03,2.241379310344827624e-01
2.340000000000000066e-03,2.307692307692307820e-01
2.360000000000000119e-03,2.288135593220338992e-01
2.380000000000000171e-03,2.352941176470588203e-01
2.399999999999999790e-03,2.416666666666666685e-01
2.419999999999999842e-03,2.396694214876033124e-01
2.439999999999999895e-03,2.377049180327868716e-01
2.459999999999999947e-03,2.357723577235772416e-01
2.480000000000000000e-03,2.338709677419354704e-01
2.500000000000000052e-03,2.320000000000000118e-01
2.520000000000000104e-03,2.380952380952380820e-01
2.540000000000000157e-03,2.362204724409448786e-01
2.560000000000000209e-03,2.421875000000000000e-01
2.579999999999999828e-03,2.403100775193798555e-01
2.599999999999999881e-03,2.384615384615384748e-01
2.619999999999999933e-03,2.366412213740458070e-01
2.639999999999999986e-03,2.348484848484848619e-01
2.660000000000000038e-03,2.406015037593984829e-01
2.680000000000000090e-03,2.388059701492537268e-01
2.700000000000000143e-03,2.370370370370370461e-01
2.720000000000000195e-03,2.426470588235294101e-01
2.739999999999999814e-03,2.408759124087591352e-01
2.759999999999999867e-03,2.391304347826087029e-01
2.779999999999999919e-03,2.374100719424460382e-01
2.799999999999999972e-03,2.428571428571428548e-01
2.820000000000000024e-03,2.482269503546099265e-01
2.840000000000000076e-03,2.535211267605633756e-01
2.860000000000000129e-03,2.517482517482517723e-01
2.880000000000000181e-03,2.569444444444444198e-01
2.899999999999999800e-03,2.551724137931034586e-01
2.919999999999999853e-03,2.534246575342465890e-01
2.939999999999999905e-03,2.517006802721088454e-01
2.959999999999999958e-03,2.500000000000000000e-01
2.980000000000000010e-03,2.550335570469798863e-01
3.000000000000000062e-03,2.533333333333333548e-01
3.020000000000000115e-03,2.582781456953642252e-01
3.040000000000000167e-03,2.565789473684210731e-01
3.059999999999999786e-03,2.549019607843137081e-01
3.079999999999999839e-03,2.597402597402597157e-01
3.099999999999999891e-03,2.580645161290322509e-01
3.119999999999999944e-03,2.564102564102563875e-01
3.139999999999999996e-03,2.547770700636942665e-01
3.160000000000000048e-03,2.531645569620253333e-01
3.180000000000000101e-03,2.515723270440251569e-01
3.200000000000000153e-03,2.500000000000000000e-01
3.220000000000000206e-03,2.484472049689440964e-01
3.239999999999999825e-03,2.469135802469135665e-01
3.259999999999999877e-03,2.453987730061349681e-01
3.279999999999999930e-03,2.439024390243902385e-01
3.299999999999999982e-03,2.484848484848484751e-01
3.320000000000000034e-03,2.469879518072289060e-01
3.340000000000000087e-03,2.455089820359281361e-01
3.360000000000000139e-03,2.440476190476190410e-01
3.380000000000000192e-03,2.485207100591715901e-01
3.399999999999999811e-03,2.529411764705882248e-01
3.419999999999999863e-03,2.573099415204678220e-01
3.439999999999999915e-03,2.558139534883721034e-01
3.459999999999999968e-03,2.543352601156069204e-01
3.480000000000000020e-03,2.528735632183908288e-01
3.500000000000000073e-03,2.571428571428571175e-01
3.520000000000000125e-03,2.556818181818181768e-01
3.540000000000000178e-03,2.598870056497175063e-01
3.559999999999999797e-03,2.584269662921348520e-01
3.579999999999999849e-03,2.569832402234636937e-01
3.599999999999999901e-03,2.555555555555555358e-01
3.619999999999999954e-03,2.596685082872928207e-01
3.640000000000000006e-03,2.582417582417582680e-01
3.660000000000000059e-03,2.568306010928961824e-01
3.680000000000000111e-03,2.554347826086956763e-01
3.700000000000000164e-03,2.540540540540540682e-01
3.720000000000000216e-03,2.580645161290322509e-01
3.739999999999999835e-03,2.620320855614973188e-01
3.759999999999999887e-03,2.606382978723404409e-01
3.779999999999999940e-03,2.592592592592592449e-01
3.799999999999999992e-03,2.578947368421052877e-01
3.820000000000000045e-03,2.565445026178010401e-01
3.840000000000000097e-03,2.604166666666666852e-01
3.860000000000000150e-03,2.590673575129533446e-01
3.880000000000000202e-03,2.577319587628865705e-01
3.899999999999999821e-03,2.564102564102563875e-01
3.919999999999999873e-03,2.602040816326530726e-01
3.939999999999999926e-03,2.588832487309644659e-01
3.959999999999999978e-03,2.626262626262626521e-01
3.980000000000000031e-03,2.613065326633166041e-01
4.000000000000000083e-03,2.600000000000000089e-01
4.020000000000000136e-03,2.587064676616915304e-01
4.040000000000000188e-03,2.574257425742574323e-01
4.060000000000000241e-03,2.561576354679803158e-01
4.080000000000000293e-03,2.549019607843137081e-01
4.100000000000000346e-03,2.536585365853658569e-01
4.120000000000000398e-03,2.572815533980582492e-01
4.139999999999999583e-03,2.608695652173912971e-01
4.159999999999999636e-03,2.596153846153846367e-01
4.179999999999999688e-03,2.583732057416268102e-01
4.199999999999999740e-03,2.571428571428571175e-01
4.219999999999999793e-03,2.559241706161137220e-01
4.239999999999999845e-03,2.547169811320754707e-01
4.259999999999999898e-03,2.582159624413145615e-01
4.279999999999999950e-03,2.616822429906541791e-01
4.300000000000000003e-03,2.604651162790697638e-01
4.320000000000000055e-03,2.592592592592592449e-01
4.340000000000000108e-03,2.626728110599078070e-01
4.360000000000000160e-03,2.614678899082568675e-01
4.380000000000000213e-03,2.648401826484018118e-01
4.400000000000000265e-03,2.636363636363636131e-01
4.420000000000000318e-03,2.624434389140271606e-01
4.440000000000000370e-03,2.657657657657657713e-01
4.460000000000000422e-03,2.645739910313901211e-01
4.479999999999999608e-03,2.678571428571428492e-01
4.499999999999999660e-03,2.711111111111111360e-01
4.519999999999999712e-03,2.699115044247787365e-01
4.539999999999999765e-03,2.687224669603524019e-01
4.559999999999999817e-03,2.719298245614035214e-01
4.579999999999999870e-03,2.707423580786026407e-01
4.599999999999999922e-03,2.695652173913043459e-01
4.619999999999999975e-03,2.683982683982684136e-01
4.640000000000000027e-03,2.672413793103448065e-01
4.660000000000000080e-03,2.660944206008583612e-01
4.680000000000000132e-03,2.692307692307692180e-01
4.700000000000000185e-03,2.680851063829787218e-01
4.720000000000000237e-03,2.669491525423728917e-01
4.740000000000000289e-03,2.658227848101265556e-01
4.760000000000000342e-03,2.647058823529411797e-01
4.780000000000000394e-03,2.635983263598326576e-01
4.799999999999999580e-03,2.625000000000000111e-01
4.819999999999999632e-03,2.614107883817427536e-01
4.839999999999999684e-03,2.644628099173553792e-01
4.859999999999999737e-03,2.633744855967078413e-01
4.879999999999999789e-03,2.622950819672131284e-01
4.899999999999999842e-03,2.612244897959183909e-01
4.919999999999999894e-03,2.642276422764227584e-01
4.939999999999999947e-03,2.631578947368420907e-01
4.959999999999999999e-03,2.620967741935483764e-01
4.980000000000000052e-03,2.650602409638554424e-01
5.000000000000000104e-03,2.640000000000000124e-01
5.020000000000000157e-03,2.629482071713147295e-01
5.040000000000000209e-03,2.619047619047619180e-01
5.060000000000000261e-03,2.648221343873518041e-01
5.080000000000000314e-03,2.637795275590550936e-01
5.100000000000000366e-03,2.627450980392156965e-01
5.120000000000000419e-03,2.617187500000000000e-01
5.139999999999999604e-03,2.607003891050583833e-01
5.159999999999999656e-03,2.596899224806201723e-01
5.179999999999999709e-03,2.625482625482625232e-01
5.199999999999999761e-03,2.615384615384615530e-01
5.219999999999999814e-03,2.605363984674329281e-01
5.239999999999999866e-03,2.633587786259541930e-01
5.259999999999999919e-03,2.661596958174904937e-01
5.279999999999999971e-03,2.651515151515151381e-01
5.300000000000000024e-03,2.641509433962264120e-01
5.320000000000000076e-03,2.631578947368420907e-01
5.340000000000000129e-03,2.621722846441947308e-01
5.360000000000000181e-03,2.611940298507462455e-01
5.380000000000000233e-03,2.602230483271375516e-01
5.400000000000000286e-03,2.592592592592592449e-01
